date,so2,no2,rspm,spm
2004-01-02,8.0,42.0,198.5,324.0
2004-01-03,8.0,42.0,188.734,321.6
2004-01-04,8.0,42.0,178.968,319.2
2004-01-05,8.0,42.0,169.202,316.8
2004-01-06,8.0,42.0,159.43599999999998,314.4
2004-01-07,8.0,42.0,149.67,312.0
2004-01-08,8.0,42.0,147.036,321.6
2004-01-09,8.0,42.0,144.402,331.2
2004-01-10,8.0,42.0,141.768,340.8
2004-01-11,8.0,42.0,139.134,350.4
2004-01-12,8.0,42.0,136.5,360.0
2004-01-13,8.0,42.0,160.55666666666667,356.0
2004-01-14,8.0,42.0,184.61333333333332,352.0
2004-01-15,8.0,42.0,208.67,348.0
2004-01-16,8.0,42.0,216.036,364.2
2004-01-17,8.0,42.0,223.402,380.4
2004-01-18,8.0,42.0,230.768,396.6
2004-01-19,8.0,42.0,238.134,412.8
2004-01-20,8.0,42.0,245.5,429.0
2004-01-21,8.0,42.0,225.0,423.0
2004-01-22,8.0,42.0,204.5,417.0
2004-01-23,8.0,42.0,184.0,411.0
2004-01-24,8.0,42.0,176.11166666666668,384.0
2004-01-25,8.0,42.0,168.22333333333333,357.0
2004-01-26,8.0,42.0,160.33499999999998,330.0
2004-01-27,8.0,42.0,152.44666666666666,303.0
2004-01-28,8.0,42.0,144.55833333333334,276.0
2004-01-29,8.0,42.0,136.67,249.0
2004-01-30,8.0,42.0,136.3357142857143,256.2857142857143
2004-01-31,8.0,42.0,136.00142857142856,263.57142857142856
2004-02-01,8.0,42.0,135.66714285714286,270.85714285714283
2004-02-02,8.0,42.0,135.33285714285714,278.14285714285717
2004-02-03,8.0,42.0,134.99857142857144,285.42857142857144
2004-02-04,8.0,42.0,134.6642857142857,292.7142857142857
2004-02-05,8.0,42.0,134.33,300.0
2004-02-06,8.0,42.0,133.33,288.6
2004-02-07,8.0,42.0,132.33,277.2
2004-02-08,8.0,42.0,131.33,265.8
2004-02-09,8.0,42.0,130.33,254.4
2004-02-10,8.0,42.0,129.33,243.0
2004-02-11,8.0,42.0,133.22,281.6666666666667
2004-02-12,8.0,42.0,137.11,320.3333333333333
2004-02-13,8.0,42.0,141.0,359.0
2004-02-14,8.0,42.0,142.5,353.5
2004-02-15,8.0,42.0,144.0,348.0
2004-02-16,8.0,42.0,145.5,342.5
