date,so2,no2,rspm,spm
2005-07-01,8.0,74.0,126.0,346.0
2005-07-02,8.0,77.0,212.0,344.0
2005-07-03,6.0,48.0,243.0,371.0
2005-07-04,8.0,62.0,204.0,302.0
2005-07-05,5.0,45.0,118.0,225.0
2005-07-06,6.0,52.5,87.5,206.0
2005-07-07,7.0,60.0,57.0,187.0
2005-07-08,7.0,58.0,111.0,378.0
2005-07-09,8.0,61.0,113.0,390.0
2005-07-10,7.0,78.0,103.0,399.0
2005-07-11,5.0,57.0,106.0,286.0
2005-07-12,6.0,53.0,81.0,164.0
2005-07-13,9.0,69.0,78.0,206.0
2005-07-14,10.0,75.0,73.0,250.0
2005-07-15,8.0,81.0,114.0,288.0
2005-07-16,7.0,80.0,61.0,242.0
2005-07-17,9.0,65.0,72.0,222.0
2005-07-18,8.0,89.0,110.0,342.0
2005-07-19,7.0,67.0,81.0,353.0
2005-07-20,6.0,66.0,105.0,431.0
2005-07-21,6.0,58.0,185.0,924.0
2005-07-22,5.0,57.0,145.0,745.0
2005-07-23,5.0,61.0,118.0,457.0
2005-07-24,7.0,62.0,98.0,347.0
2005-07-25,7.0,66.0,114.0,300.0
2005-07-26,11.0,62.0,92.0,314.0
2005-07-27,8.0,66.0,123.0,297.0
2005-07-28,8.0,64.0,138.0,362.0
2005-07-29,7.0,71.0,79.0,292.0
2005-07-30,6.0,66.0,109.0,328.0
2005-07-31,5.0,62.0,160.0,277.0
2005-08-01,7.0,68.0,119.0,339.0
2005-08-02,8.0,70.0,148.0,282.0
2005-08-03,10.0,84.0,211.0,334.0
2005-08-04,9.0,86.0,233.0,434.0
2005-08-05,7.0,83.0,237.0,428.0
2005-08-06,6.0,81.0,156.0,302.0
2005-08-07,7.0,72.0,102.0,439.0
2005-08-08,8.0,77.0,136.0,283.0
2005-08-09,8.0,89.0,148.0,300.0
2005-08-10,6.0,78.0,201.0,351.0
2005-08-11,6.0,93.0,165.0,506.0
2005-08-12,5.0,83.0,156.0,483.0
2005-08-13,5.0,72.0,155.0,463.0
2005-08-14,5.0,80.0,217.0,489.0
2005-08-15,5.0,74.0,135.0,400.0
2005-08-16,9.0,86.0,149.0,290.0
2005-08-17,7.0,73.0,144.0,316.0
2005-08-18,7.0,77.0,115.0,390.0
2005-08-19,9.0,77.0,163.0,368.0
2005-08-20,9.0,86.0,101.0,220.0
2005-08-21,9.0,67.0,92.0,389.0
2005-08-22,9.0,81.0,153.0,364.0
2005-08-23,7.0,59.0,137.0,350.0
2005-08-24,7.0,60.0,276.0,385.0
2005-08-25,7.0,71.0,235.0,567.0
2005-08-26,7.0,60.0,197.0,439.0
2005-08-27,7.0,64.0,276.0,410.0
2005-08-28,6.0,52.0,192.0,493.0
2005-08-29,6.0,55.0,176.0,387.0
2005-08-30,6.0,49.0,148.0,406.0
2005-08-31,6.0,56.0,180.0,449.0
2005-09-01,6.0,61.0,152.0,506.0
2005-09-02,7.0,76.0,159.0,450.0
2005-09-03,7.0,74.0,130.0,426.0
2005-09-04,11.0,75.0,156.0,428.0
2005-09-05,10.0,74.0,100.0,407.0
2005-09-06,11.0,67.0,152.0,511.0
2005-09-07,15.0,82.0,192.0,497.0
2005-09-08,14.0,69.0,146.0,424.0
