date,so2,no2,rspm,spm
2005-06-11,12.3,28.2,,
2005-06-12,4.8,16.8,,
2005-06-13,8.5,15.9,,
2005-06-14,10.15,25.5,,
2005-06-15,11.8,22.2,,
2005-06-16,16.7,25.0,,
2005-06-17,17.5,32.8,,
2005-06-18,11.5,31.45,,
2005-06-19,7.9,30.1,,
2005-06-20,6.3,17.7,,
2005-06-21,6.65,26.8,,
2005-06-22,7.0,22.3,,
2005-06-23,7.35,22.5,,
2005-06-24,7.7,18.9,,
2005-06-25,7.7,18.8,,
2005-06-26,7.7,16.8,,
2005-06-27,7.7,15.3,,
2005-06-28,7.7,17.5,,
2005-06-29,7.7,15.55,,
2005-06-30,7.7,13.6,,
2005-07-01,5.4,13.1,,
2005-07-02,5.325,36.0,,
2005-07-03,5.25,29.9,,
2005-07-04,5.175,23.0,,
2005-07-05,5.1,29.1,,
2005-07-06,5.1,13.0,,
2005-07-07,5.1,33.3,,
