date,so2,no2,rspm,spm
2004-01-01,8.0,39.0,179.33,398.0
2004-01-02,8.0,39.0,164.66400000000002,360.0
2004-01-03,8.0,39.0,149.99800000000002,322.0
2004-01-04,8.0,39.0,135.332,284.0
2004-01-05,8.0,39.0,120.666,246.0
2004-01-06,8.0,39.0,106.0,208.0
2004-01-07,8.0,39.0,100.89,227.0
2004-01-08,8.0,39.0,95.78,246.0
2004-01-09,8.0,39.0,90.67,265.0
2004-01-10,8.0,39.0,87.802,247.2
2004-01-11,8.0,39.0,84.934,229.4
2004-01-12,8.0,39.0,82.066,211.6
2004-01-13,8.0,39.0,79.198,193.8
2004-01-14,8.0,39.0,76.33,176.0
2004-01-15,8.0,39.0,85.398,194.0
2004-01-16,8.0,39.0,94.46600000000001,212.0
2004-01-17,8.0,39.0,103.534,230.0
2004-01-18,8.0,39.0,112.602,248.0
2004-01-19,8.0,39.0,121.67,266.0
2004-01-20,8.0,39.0,102.11333333333333,248.33333333333334
2004-01-21,8.0,39.0,82.55666666666667,230.66666666666666
2004-01-22,8.0,39.0,63.0,213.0
2004-01-23,8.0,39.0,76.16666666666667,235.5
2004-01-24,8.0,39.0,89.33333333333333,258.0
2004-01-25,8.0,39.0,102.5,280.5
2004-01-26,8.0,39.0,115.66666666666666,303.0
2004-01-27,8.0,39.0,128.83333333333331,325.5
2004-01-28,8.0,39.0,142.0,348.0
2004-01-29,8.0,39.0,133.52428571428572,339.57142857142856
2004-01-30,8.0,39.0,125.04857142857142,331.14285714285717
2004-01-31,8.0,39.0,116.57285714285715,322.7142857142857
2004-02-01,8.0,39.0,108.09714285714286,314.2857142857143
2004-02-02,8.0,39.0,99.62142857142857,305.85714285714283
2004-02-03,8.0,39.0,91.14571428571429,297.42857142857144
2004-02-04,8.0,39.0,82.67,289.0
2004-02-05,8.0,39.0,83.136,300.8
2004-02-06,8.0,39.0,83.602,312.6
2004-02-07,8.0,39.0,84.068,324.4
2004-02-08,8.0,39.0,84.534,336.2
2004-02-09,8.0,39.0,85.0,348.0
2004-02-10,8.0,39.0,76.44333333333333,282.6666666666667
2004-02-11,8.0,39.0,67.88666666666667,217.33333333333334
2004-02-12,8.0,39.0,59.33,152.0
2004-02-13,8.0,39.0,68.92999999999999,184.0
2004-02-14,8.0,39.0,78.53,216.0
2004-02-15,8.0,39.0,88.13,248.0
2004-02-16,8.0,39.0,97.72999999999999,280.0
2004-02-17,8.0,39.0,107.33,312.0
2004-02-18,8.0,39.0,101.38666666666667,321.5
2004-02-19,8.0,39.0,95.44333333333333,331.0
2004-02-20,8.0,39.0,89.5,340.5
2004-02-21,8.0,39.0,83.55666666666667,350.0
2004-02-22,8.0,39.0,77.61333333333334,359.5
2004-02-23,8.0,39.0,71.67,369.0
2004-02-24,8.0,39.0,85.33666666666667,360.6666666666667
2004-02-25,8.0,39.0,99.00333333333333,352.3333333333333
2004-02-26,8.0,39.0,112.67,344.0
2004-02-27,8.0,39.0,116.57428571428572,352.85714285714283
2004-02-28,8.0,39.0,120.47857142857143,361.7142857142857
2004-02-29,8.0,39.0,124.38285714285715,370.57142857142856
2004-03-01,8.0,39.0,128.28714285714287,379.42857142857144
2004-03-02,8.0,39.0,132.19142857142856,388.2857142857143
2004-03-03,8.0,39.0,136.09571428571428,397.14285714285717
2004-03-04,8.0,39.0,140.0,406.0
2004-03-05,8.0,39.0,138.334,377.0
2004-03-06,8.0,39.0,136.668,348.0
2004-03-07,8.0,39.0,135.00199999999998,319.0
2004-03-08,8.0,39.0,133.33599999999998,290.0
2004-03-09,8.0,39.0,131.67,261.0
2004-03-10,8.0,39.0,157.67,293.6666666666667
2004-03-11,8.0,39.0,183.67,326.3333333333333
2004-03-12,8.0,39.0,209.67,359.0
2004-03-13,8.0,39.0,208.07,366.6
2004-03-14,8.0,39.0,206.47,374.2
2004-03-15,8.0,39.0,204.86999999999998,381.8
2004-03-16,8.0,39.0,203.26999999999998,389.4
2004-03-17,8.0,39.0,201.67,397.0
2004-03-18,8.0,39.0,209.736,421.4
2004-03-19,8.0,39.0,217.802,445.8
2004-03-20,8.0,39.0,225.868,470.2
2004-03-21,8.0,39.0,233.934,494.6
2004-03-22,8.0,39.0,242.0,519.0
