date,so2,no2,rspm,spm
2004-01-05,11.0,44.0,136.0,323.0
2004-01-06,11.0,44.0,121.66666666666667,310.0
2004-01-07,11.0,44.0,107.33333333333333,297.0
2004-01-08,11.0,44.0,93.0,284.0
2004-01-09,11.0,44.0,99.466,303.4
2004-01-10,11.0,44.0,105.932,322.8
2004-01-11,11.0,44.0,112.398,342.2
2004-01-12,11.0,44.0,118.864,361.6
2004-01-13,11.0,44.0,125.33,381.0
2004-01-14,11.0,44.0,140.55333333333334,390.4
2004-01-15,11.0,44.0,155.77666666666667,399.8
2004-01-16,11.0,44.0,171.0,409.2
2004-01-17,11.0,44.0,189.5,418.6
2004-01-18,11.0,44.0,208.0,428.0
2004-01-19,11.0,44.0,178.66666666666666,401.22222222222223
2004-01-20,11.0,44.0,149.33333333333334,374.44444444444446
2004-01-21,11.0,44.0,120.0,347.66666666666663
2004-01-22,11.0,44.0,119.22166666666666,320.8888888888889
2004-01-23,11.0,44.0,118.44333333333333,294.1111111111111
2004-01-24,11.0,44.0,117.66499999999999,267.3333333333333
2004-01-25,11.0,44.0,116.88666666666667,240.55555555555554
2004-01-26,11.0,44.0,116.10833333333333,213.77777777777777
2004-01-27,11.0,44.0,115.33,187.0
2004-01-28,11.0,44.0,108.80714285714285,190.28571428571428
2004-01-29,11.0,44.0,102.28428571428572,193.57142857142858
2004-01-30,11.0,44.0,95.76142857142857,196.85714285714286
2004-01-31,11.0,44.0,89.23857142857143,200.14285714285714
2004-02-01,11.0,44.0,82.71571428571428,203.42857142857142
2004-02-02,11.0,44.0,76.19285714285715,206.71428571428572
2004-02-03,11.0,44.0,69.67,210.0
2004-02-04,11.0,44.0,75.33500000000001,232.0
2004-02-05,11.0,44.0,81.0,254.0
2004-02-06,11.0,44.0,150.0,288.0
2004-02-07,11.0,44.0,139.266,266.2
2004-02-08,11.0,44.0,128.532,244.4
2004-02-09,11.0,44.0,117.798,222.6
2004-02-10,11.0,44.0,107.064,200.8
2004-02-11,11.0,44.0,96.33,179.0
2004-02-12,11.0,44.0,97.264,195.0
2004-02-13,11.0,44.0,98.198,211.0
2004-02-14,11.0,44.0,99.132,227.0
2004-02-15,11.0,44.0,100.066,243.0
2004-02-16,11.0,44.0,101.0,259.0
2004-02-17,11.0,44.0,95.75,258.75
2004-02-18,11.0,44.0,90.5,258.5
2004-02-19,11.0,44.0,85.25,258.25
2004-02-20,11.0,44.0,80.0,258.0
2004-02-21,11.0,44.0,82.7225,268.1666666666667
2004-02-22,11.0,44.0,85.445,278.3333333333333
2004-02-23,11.0,44.0,88.1675,288.5
2004-02-24,11.0,44.0,90.89,298.6666666666667
2004-02-25,11.0,44.0,93.6125,308.8333333333333
2004-02-26,11.0,44.0,96.33500000000001,319.0
2004-02-27,11.0,44.0,99.0575,329.16666666666663
2004-02-28,11.0,44.0,101.78,339.3333333333333
2004-02-29,11.0,44.0,104.5025,349.5
2004-03-01,11.0,44.0,107.225,359.66666666666663
