date,so2,no2,rspm,spm
2006-06-02,10.0,55.0,173.0,696.0
2006-06-03,10.36,53.2,169.0,677.6
2006-06-04,10.72,51.4,165.0,659.2
2006-06-05,11.08,49.6,161.0,640.8
2006-06-06,11.440000000000001,47.8,157.0,622.4
2006-06-07,11.8,46.0,153.0,604.0
2006-06-08,11.200000000000001,45.16,187.6,650.2
2006-06-09,10.600000000000001,44.32,222.2,696.4
2006-06-10,10.0,43.48,256.8,742.6
2006-06-11,9.4,42.64,291.4,788.8
2006-06-12,8.8,41.8,326.0,835.0
2006-06-13,8.866666666666667,40.36666666666667,280.0,788.0
2006-06-14,8.933333333333334,38.93333333333333,234.0,741.0
2006-06-15,9.0,37.5,188.0,694.0
2006-06-16,8.76,37.16,168.2,625.2
2006-06-17,8.52,36.82,148.4,556.4
2006-06-18,8.28,36.48,128.6,487.6
2006-06-19,8.04,36.14,108.8,418.8
2006-06-20,7.8,35.8,89.0,350.0
2006-06-21,7.533333333333333,42.8,99.0,375.0
2006-06-22,7.266666666666667,49.8,109.0,400.0
2006-06-23,7.0,56.8,119.0,425.0
2006-06-24,7.6,55.599999999999994,126.4,459.6
2006-06-25,8.2,54.4,133.8,494.2
2006-06-26,8.8,53.199999999999996,141.2,528.8
2006-06-27,9.4,52.0,148.6,563.4
2006-06-28,10.0,50.8,156.0,598.0
2006-06-29,12.2,49.5,154.83333333333334,551.6666666666666
2006-06-30,14.399999999999999,48.199999999999996,153.66666666666666,505.3333333333333
2006-07-01,16.6,46.9,152.5,459.0
2006-07-02,18.799999999999997,45.6,151.33333333333334,412.66666666666663
2006-07-03,21.0,44.3,150.16666666666666,366.3333333333333
2006-07-04,23.2,43.0,149.0,320.0
2006-07-05,23.066666666666666,38.43333333333334,140.66666666666666,338.3333333333333
2006-07-06,22.933333333333334,33.86666666666667,132.33333333333334,356.6666666666667
2006-07-07,22.8,29.3,124.0,375.0
2006-07-08,22.47,29.64,121.8,362.7
2006-07-09,22.14,29.98,119.6,350.4
2006-07-10,21.810000000000002,30.32,117.4,338.1
2006-07-11,21.48,30.66,115.2,325.8
2006-07-12,21.15,31.0,113.0,313.5
2006-07-13,20.82,31.340000000000003,110.8,301.2
2006-07-14,20.490000000000002,31.680000000000003,108.6,288.9
2006-07-15,20.16,32.02,106.4,276.6
2006-07-16,19.83,32.36,104.2,264.3
2006-07-17,19.5,32.7,102.0,252.0
2006-07-18,20.166666666666668,31.533333333333335,94.66666666666667,221.66666666666666
2006-07-19,20.833333333333332,30.366666666666667,87.33333333333333,191.33333333333334
2006-07-20,21.5,29.2,80.0,161.0
2006-07-21,21.04,30.24,82.8,172.0
2006-07-22,20.58,31.279999999999998,85.6,183.0
2006-07-23,20.12,32.32,88.4,194.0
2006-07-24,19.66,33.36,91.2,205.0
2006-07-25,19.2,34.4,94.0,216.0
2006-07-26,20.066666666666666,32.1,82.66666666666667,217.33333333333334
2006-07-27,20.933333333333334,29.8,71.33333333333333,218.66666666666666
2006-07-28,21.8,27.5,60.0,220.0
2006-07-29,19.8,27.53333333333333,60.0,206.16666666666666
2006-07-30,17.8,27.566666666666666,60.0,192.33333333333334
2006-07-31,15.8,27.6,60.0,178.5
2006-08-01,13.8,27.633333333333333,60.0,164.66666666666666
2006-08-02,11.8,27.666666666666664,60.0,150.83333333333331
2006-08-03,9.8,27.7,60.0,137.0
2006-08-04,9.14,27.36,57.2,164.6
2006-08-05,8.48,27.02,54.4,192.2
2006-08-06,7.82,26.68,51.6,219.8
2006-08-07,7.16,26.34,48.8,247.4
2006-08-08,6.5,26.0,46.0,275.0
2006-08-09,8.733333333333333,27.566666666666666,57.333333333333336,264.6666666666667
2006-08-10,10.966666666666665,29.133333333333333,68.66666666666667,254.33333333333334
2006-08-11,13.2,30.7,80.0,244.0
2006-08-12,13.27142857142857,31.17142857142857,78.71428571428571,251.85714285714286
2006-08-13,13.342857142857142,31.642857142857142,77.42857142857143,259.7142857142857
2006-08-14,13.414285714285713,32.114285714285714,76.14285714285714,267.57142857142856
2006-08-15,13.485714285714286,32.58571428571429,74.85714285714286,275.42857142857144
2006-08-16,13.557142857142857,33.05714285714286,73.57142857142857,283.2857142857143
2006-08-17,13.628571428571428,33.528571428571425,72.28571428571428,291.1428571428571
2006-08-18,13.7,34.0,71.0,299.0
2006-08-19,13.08,33.04,71.6,269.8
2006-08-20,12.459999999999999,32.08,72.2,240.6
2006-08-21,11.84,31.119999999999997,72.8,211.4
2006-08-22,11.219999999999999,30.16,73.4,182.2
2006-08-23,10.6,29.2,74.0,153.0
2006-08-24,10.44,29.8,65.8,154.6
2006-08-25,10.28,30.400000000000002,57.6,156.2
2006-08-26,10.120000000000001,31.0,49.400000000000006,157.8
2006-08-27,9.96,31.6,41.2,159.4
2006-08-28,9.8,32.2,33.0,161.0
2006-08-29,11.850000000000001,31.975,39.25,183.125
2006-08-30,13.9,31.75,45.5,205.25
2006-08-31,15.95,31.525000000000002,51.75,227.375
2006-09-01,18.0,31.3,58.0,249.5
2006-09-02,20.05,31.075,64.25,271.625
2006-09-03,22.1,30.85,70.5,293.75
2006-09-04,24.15,30.625,76.75,315.875
2006-09-05,26.2,30.4,83.0,338.0
2006-09-06,18.8,24.7,80.66666666666667,288.6666666666667
2006-09-07,11.4,19.0,78.33333333333333,239.33333333333331
2006-09-08,4.0,13.3,76.0,190.0
2006-09-09,4.06,13.98,75.2,207.0
2006-09-10,4.12,14.66,74.4,224.0
2006-09-11,4.18,15.34,73.6,241.0
2006-09-12,4.24,16.02,72.8,258.0
2006-09-13,4.3,16.7,72.0,275.0
2006-09-14,7.08,18.36,88.4,298.4
2006-09-15,9.86,20.02,104.8,321.8
2006-09-16,12.64,21.68,121.19999999999999,345.2
2006-09-17,15.419999999999998,23.34,137.6,368.6
2006-09-18,18.2,25.0,154.0,392.0
2006-09-19,15.4,28.266666666666666,131.66666666666666,396.3333333333333
2006-09-20,12.600000000000001,31.53333333333333,109.33333333333334,400.6666666666667
2006-09-21,9.8,34.8,87.0,405.0
2006-09-22,8.68,33.5,91.8,397.2
2006-09-23,7.5600000000000005,32.199999999999996,96.6,389.4
2006-09-24,6.44,30.9,101.4,381.6
2006-09-25,5.32,29.6,106.2,373.8
2006-09-26,4.2,28.3,111.0,366.0
2006-09-27,4.171428571428572,32.142857142857146,114.42857142857143,373.85714285714283
