date,so2,no2,rspm,spm
2004-01-01,11.0,36.0,297.33,359.0
2004-01-02,11.0,36.0,273.198,359.0
2004-01-03,11.0,36.0,249.06599999999997,359.0
2004-01-04,11.0,36.0,224.934,359.0
2004-01-05,11.0,36.0,200.802,359.0
2004-01-06,11.0,36.0,176.67,359.0
2004-01-07,11.0,36.0,156.55666666666667,345.0
2004-01-08,11.0,36.0,136.44333333333333,331.0
2004-01-09,11.0,36.0,116.33,317.0
2004-01-10,11.0,36.0,140.59799999999998,347.6
2004-01-11,11.0,36.0,164.86599999999999,378.2
2004-01-12,11.0,36.0,189.134,408.8
2004-01-13,11.0,36.0,213.402,439.4
2004-01-14,11.0,36.0,237.67,470.0
2004-01-15,11.0,36.0,212.536,439.2
2004-01-16,11.0,36.0,187.402,408.4
2004-01-17,11.0,36.0,162.268,377.6
2004-01-18,11.0,36.0,137.13400000000001,346.8
2004-01-19,11.0,36.0,112.0,316.0
2004-01-20,11.0,36.0,99.44333333333333,273.0
2004-01-21,11.0,36.0,86.88666666666667,230.0
2004-01-22,11.0,36.0,74.33,187.0
2004-01-23,11.0,36.0,81.275,205.33333333333334
2004-01-24,11.0,36.0,88.22,223.66666666666666
2004-01-25,11.0,36.0,95.16499999999999,242.0
2004-01-26,11.0,36.0,102.11,260.3333333333333
2004-01-27,11.0,36.0,109.055,278.66666666666663
2004-01-28,11.0,36.0,116.0,297.0
2004-01-29,11.0,36.0,112.71428571428571,290.7142857142857
2004-01-30,11.0,36.0,109.42857142857143,284.42857142857144
2004-01-31,11.0,36.0,106.14285714285714,278.14285714285717
2004-02-01,11.0,36.0,102.85714285714286,271.85714285714283
2004-02-02,11.0,36.0,99.57142857142857,265.57142857142856
2004-02-03,11.0,36.0,96.28571428571428,259.2857142857143
2004-02-04,11.0,36.0,93.0,253.0
2004-02-05,11.0,36.0,103.6,294.0
2004-02-06,11.0,36.0,114.2,335.0
2004-02-07,11.0,36.0,124.8,376.0
2004-02-08,11.0,36.0,135.4,417.0
2004-02-09,11.0,36.0,146.0,458.0
2004-02-10,11.0,36.0,133.55666666666667,395.3333333333333
2004-02-11,11.0,36.0,121.11333333333333,332.6666666666667
2004-02-12,11.0,36.0,108.67,270.0
2004-02-13,11.0,36.0,119.27,251.6
2004-02-14,11.0,36.0,129.87,233.2
2004-02-15,11.0,36.0,140.47,214.8
2004-02-16,11.0,36.0,151.07,196.4
2004-02-17,11.0,36.0,161.67,178.0
2004-02-18,11.0,36.0,153.11333333333332,184.33333333333334
2004-02-19,11.0,36.0,144.55666666666667,190.66666666666666
2004-02-20,11.0,36.0,136.0,197.0
2004-02-21,11.0,36.0,127.44333333333333,203.33333333333334
2004-02-22,11.0,36.0,118.88666666666666,209.66666666666666
2004-02-23,11.0,36.0,110.33,216.0
2004-02-24,11.0,36.0,142.22,222.33333333333331
2004-02-25,11.0,36.0,174.11,228.66666666666666
2004-02-26,11.0,36.0,206.0,235.0
2004-02-27,11.0,36.0,194.66714285714286,241.33333333333331
2004-02-28,11.0,36.0,183.33428571428573,247.66666666666666
2004-02-29,11.0,36.0,172.00142857142856,254.0
2004-03-01,11.0,36.0,160.66857142857143,260.3333333333333
2004-03-02,11.0,36.0,149.3357142857143,266.66666666666663
2004-03-03,11.0,36.0,138.00285714285715,273.0
2004-03-04,11.0,36.0,126.67,279.3333333333333
2004-03-05,11.0,36.0,125.07000000000001,285.66666666666663
2004-03-06,11.0,36.0,123.47,292.0
2004-03-07,11.0,36.0,121.87,298.3333333333333
2004-03-08,11.0,36.0,120.27,304.66666666666663
2004-03-09,11.0,36.0,118.67,311.0
2004-03-10,11.0,36.0,113.11333333333333,311.6666666666667
2004-03-11,11.0,36.0,107.55666666666667,312.3333333333333
2004-03-12,11.0,36.0,102.0,313.0
2004-03-13,11.0,36.0,104.266,315.6
2004-03-14,11.0,36.0,106.532,318.2
2004-03-15,11.0,36.0,108.798,320.8
2004-03-16,11.0,36.0,111.064,323.4
2004-03-17,11.0,36.0,113.33,326.0
2004-03-18,11.0,36.0,113.664,342.2
2004-03-19,11.0,36.0,113.998,358.4
2004-03-20,11.0,36.0,114.332,374.6
2004-03-21,11.0,36.0,114.666,390.8
2004-03-22,11.0,36.0,115.0,407.0
2004-03-23,11.0,36.0,139.22333333333333,434.6666666666667
2004-03-24,11.0,36.0,163.44666666666666,462.3333333333333
2004-03-25,11.0,36.0,187.67,490.0
2004-03-26,11.0,36.0,177.90714285714284,473.7142857142857
2004-03-27,11.0,36.0,168.1442857142857,457.42857142857144
2004-03-28,11.0,36.0,158.38142857142856,441.14285714285717
2004-03-29,11.0,36.0,148.6185714285714,424.8571428571429
2004-03-30,11.0,36.0,138.85571428571427,408.57142857142856
2004-03-31,11.0,36.0,129.09285714285716,392.2857142857143
2004-04-01,11.0,36.0,119.33,376.0
2004-04-02,11.0,36.0,114.864,369.4
2004-04-03,11.0,36.0,110.398,362.8
2004-04-04,11.0,36.0,105.932,356.2
2004-04-05,11.0,36.0,101.46600000000001,349.6
2004-04-06,11.0,36.0,97.0,343.0
2004-04-07,11.0,36.0,104.945,361.5
2004-04-08,11.0,36.0,112.89,380.0
2004-04-09,11.0,36.0,120.835,398.5
2004-04-10,11.0,36.0,128.78,417.0
2004-04-11,11.0,36.0,136.725,435.5
2004-04-12,11.0,36.0,144.67,454.0
2004-04-13,11.0,36.0,133.17,438.5
2004-04-14,11.0,36.0,121.66999999999999,423.0
2004-04-15,11.0,36.0,110.17,407.5
2004-04-16,11.0,36.0,98.67,392.0
2004-04-17,11.0,36.0,129.27,450.2
2004-04-18,11.0,36.0,159.87,508.4
2004-04-19,11.0,36.0,190.47000000000003,566.6
