date,so2,no2,rspm,spm
2004-01-05,8.0,37.0,184.0,357.0
2004-01-06,8.0,37.0,173.77666666666667,345.6666666666667
2004-01-07,8.0,37.0,163.55333333333334,334.3333333333333
2004-01-08,8.0,37.0,153.33,323.0
2004-01-09,8.0,37.0,146.264,317.2
2004-01-10,8.0,37.0,139.198,311.4
2004-01-11,8.0,37.0,132.132,305.6
2004-01-12,8.0,37.0,125.066,299.8
2004-01-13,8.0,37.0,118.0,294.0
2004-01-14,8.0,37.0,124.77666666666667,281.6666666666667
2004-01-15,8.0,37.0,131.55333333333334,269.3333333333333
2004-01-16,8.0,37.0,138.33,257.0
2004-01-17,8.0,37.0,126.06400000000001,236.8
2004-01-18,8.0,37.0,113.798,216.6
2004-01-19,8.0,37.0,101.53200000000001,196.4
2004-01-20,8.0,37.0,89.266,176.2
2004-01-21,8.0,37.0,77.0,156.0
2004-01-22,8.0,37.0,86.83333333333333,183.5
2004-01-23,8.0,37.0,96.66666666666667,211.0
2004-01-24,8.0,37.0,106.5,238.5
2004-01-25,8.0,37.0,116.33333333333334,266.0
2004-01-26,8.0,37.0,126.16666666666667,293.5
2004-01-27,8.0,37.0,136.0,321.0
2004-01-28,8.0,37.0,132.76142857142858,312.0
2004-01-29,8.0,37.0,129.52285714285713,303.0
2004-01-30,8.0,37.0,126.28428571428572,294.0
2004-01-31,8.0,37.0,123.04571428571428,285.0
2004-02-01,8.0,37.0,119.80714285714285,276.0
2004-02-02,8.0,37.0,116.56857142857143,267.0
2004-02-03,8.0,37.0,113.33,258.0
2004-02-04,8.0,37.0,125.33,283.3333333333333
2004-02-05,8.0,37.0,137.33,308.6666666666667
2004-02-06,8.0,37.0,149.33,334.0
2004-02-07,8.0,37.0,141.73000000000002,324.8
2004-02-08,8.0,37.0,134.13,315.6
2004-02-09,8.0,37.0,126.53,306.4
2004-02-10,8.0,37.0,118.93,297.2
2004-02-11,8.0,37.0,111.33,288.0
2004-02-12,8.0,37.0,116.73,296.4
2004-02-13,8.0,37.0,122.13000000000001,304.8
2004-02-14,8.0,37.0,127.53,313.2
2004-02-15,8.0,37.0,132.93,321.6
2004-02-16,8.0,37.0,138.33,330.0
2004-02-17,8.0,37.0,133.16500000000002,322.75
2004-02-18,8.0,37.0,128.0,315.5
2004-02-19,8.0,37.0,122.83500000000001,308.25
2004-02-20,8.0,37.0,117.67,301.0
2004-02-21,8.0,37.0,119.47,294.4
2004-02-22,8.0,37.0,121.27,287.8
2004-02-23,8.0,37.0,123.07000000000001,281.2
2004-02-24,8.0,37.0,124.87,274.6
2004-02-25,8.0,37.0,126.67,268.0
2004-02-26,8.0,37.0,132.1457142857143,282.2857142857143
2004-02-27,8.0,37.0,137.62142857142857,296.57142857142856
2004-02-28,8.0,37.0,143.09714285714284,310.8571428571429
2004-02-29,8.0,37.0,148.57285714285715,325.14285714285717
2004-03-01,8.0,37.0,154.04857142857142,339.42857142857144
2004-03-02,8.0,37.0,159.52428571428572,353.7142857142857
2004-03-03,8.0,37.0,165.0,368.0
2004-03-04,8.0,37.0,156.534,370.4
2004-03-05,8.0,37.0,148.068,372.8
2004-03-06,8.0,37.0,139.602,375.2
2004-03-07,8.0,37.0,131.136,377.6
2004-03-08,8.0,37.0,122.67,380.0
2004-03-09,8.0,37.0,135.00333333333333,365.6666666666667
2004-03-10,8.0,37.0,147.33666666666664,351.3333333333333
2004-03-11,8.0,37.0,159.67,337.0
2004-03-12,8.0,37.0,163.33599999999998,379.6
2004-03-13,8.0,37.0,167.00199999999998,422.2
2004-03-14,8.0,37.0,170.668,464.8
2004-03-15,8.0,37.0,174.334,507.4
2004-03-16,8.0,37.0,178.0,550.0
2004-03-17,8.0,37.0,174.0,512.6666666666666
2004-03-18,8.0,37.0,170.0,475.3333333333333
2004-03-19,8.0,37.0,166.0,438.0
2004-03-20,8.0,37.0,170.8,446.0
2004-03-21,8.0,37.0,175.6,454.0
2004-03-22,8.0,37.0,180.4,462.0
2004-03-23,8.0,37.0,185.2,470.0
2004-03-24,8.0,37.0,190.0,478.0
2004-03-25,8.0,37.0,172.2,438.6
2004-03-26,8.0,37.0,154.4,399.2
2004-03-27,8.0,37.0,136.6,359.8
2004-03-28,8.0,37.0,118.8,320.4
2004-03-29,8.0,37.0,101.0,281.0
2004-03-30,8.0,37.0,106.66714285714285,288.14285714285717
2004-03-31,8.0,37.0,112.33428571428571,295.2857142857143
2004-04-01,8.0,37.0,118.00142857142856,302.42857142857144
2004-04-02,8.0,37.0,123.66857142857143,309.57142857142856
2004-04-03,8.0,37.0,129.3357142857143,316.7142857142857
2004-04-04,8.0,37.0,135.00285714285712,323.8571428571429
2004-04-05,8.0,37.0,140.67,331.0
2004-04-06,8.0,37.0,136.22333333333333,373.6666666666667
2004-04-07,8.0,37.0,131.77666666666667,416.3333333333333
2004-04-08,8.0,37.0,127.33,459.0
2004-04-09,8.0,37.0,135.75857142857143,467.0
2004-04-10,8.0,37.0,144.18714285714287,475.0
2004-04-11,8.0,37.0,152.6157142857143,483.0
2004-04-12,8.0,37.0,161.0442857142857,491.0
2004-04-13,8.0,37.0,169.47285714285715,499.0
2004-04-14,8.0,37.0,177.9014285714286,507.0
2004-04-15,8.0,37.0,186.33,515.0
2004-04-16,8.0,37.0,185.33,506.8095238095238
2004-04-17,8.0,37.0,184.33,498.6190476190476
2004-04-18,8.0,37.0,183.33,490.42857142857144
2004-04-19,8.0,37.0,182.33,482.23809523809524
2004-04-20,8.0,37.0,181.33,474.04761904761904
2004-04-21,8.0,37.0,165.99666666666667,465.8571428571429
2004-04-22,8.0,37.0,150.66333333333336,457.6666666666667
2004-04-23,8.0,37.0,135.33,449.4761904761905
2004-04-24,8.0,37.0,133.42906250000001,441.2857142857143
2004-04-25,8.0,37.0,131.52812500000002,433.0952380952381
2004-04-26,8.0,37.0,129.62718750000002,424.9047619047619
2004-04-27,8.0,37.0,127.72625000000001,416.7142857142857
2004-04-28,8.0,37.0,125.82531250000001,408.5238095238095
2004-04-29,8.0,37.0,123.92437500000001,400.33333333333337
2004-04-30,8.0,37.0,122.02343750000001,392.14285714285717
2004-05-01,8.0,37.0,120.1225,383.95238095238096
2004-05-02,8.0,37.0,118.2215625,375.76190476190476
2004-05-03,8.0,37.0,116.320625,367.57142857142856
2004-05-04,8.0,37.0,114.41968750000001,359.3809523809524
2004-05-05,8.0,37.0,112.51875000000001,351.1904761904762
2004-05-06,8.0,37.0,110.61781250000001,343.0
2004-05-07,8.0,37.0,108.71687500000002,339.1666666666667
2004-05-08,8.0,37.0,106.8159375,335.3333333333333
2004-05-09,8.0,37.0,104.915,331.5
2004-05-10,8.0,37.0,103.01406250000001,327.6666666666667
2004-05-11,8.0,37.0,101.113125,323.8333333333333
2004-05-12,8.0,37.0,99.2121875,320.0
2004-05-13,8.0,37.0,97.31125,326.8
2004-05-14,8.0,37.0,95.4103125,333.6
2004-05-15,8.0,37.0,93.509375,340.4
2004-05-16,8.0,37.0,91.60843750000001,347.2
2004-05-17,8.0,37.0,89.70750000000001,354.0
2004-05-18,8.0,37.0,87.80656250000001,637.3333333333333
2004-05-19,8.0,37.0,85.905625,920.6666666666666
2004-05-20,8.0,37.0,84.0046875,1204.0
2004-05-21,8.0,37.0,82.10375,1031.8
2004-05-22,8.0,37.0,80.2028125,859.6
2004-05-23,8.0,37.0,78.301875,687.4000000000001
2004-05-24,8.0,37.0,76.4009375,515.2
2004-05-25,8.0,37.0,74.5,343.0
2004-05-26,8.0,37.0,97.0,341.3333333333333
2004-05-27,8.0,37.0,119.5,339.6666666666667
2004-05-28,8.0,37.0,142.0,338.0
2004-05-29,8.0,37.0,146.945,344.1666666666667
2004-05-30,8.0,37.0,151.89,350.3333333333333
2004-05-31,8.0,37.0,156.83499999999998,356.5
2004-06-01,8.0,37.0,161.78,362.6666666666667
2004-06-02,8.0,37.0,166.725,368.8333333333333
2004-06-03,8.0,37.0,171.67,375.0
2004-06-04,8.0,37.0,154.07,369.8
2004-06-05,8.0,37.0,136.47,364.6
2004-06-06,8.0,37.0,118.86999999999999,359.4
2004-06-07,8.0,37.0,101.27,354.2
2004-06-08,8.0,37.0,83.67,349.0
2004-06-09,8.0,37.0,102.00333333333333,326.6666666666667
2004-06-10,8.0,37.0,120.33666666666666,304.3333333333333
2004-06-11,8.0,37.0,138.67,282.0
2004-06-12,8.0,37.0,132.67,281.8
2004-06-13,8.0,37.0,126.66999999999999,281.6
2004-06-14,8.0,37.0,120.66999999999999,281.4
2004-06-15,8.0,37.0,114.67,281.2
2004-06-16,8.0,37.0,108.67,281.0
2004-06-17,8.0,37.0,99.536,261.8
2004-06-18,8.0,37.0,90.402,242.6
2004-06-19,8.0,37.0,81.268,223.4
2004-06-20,8.0,37.0,72.134,204.2
2004-06-21,8.0,37.0,63.0,185.0
2004-06-22,8.0,37.0,53.833333333333336,260.0
2004-06-23,8.0,37.0,44.66666666666667,335.0
2004-06-24,8.0,37.0,35.5,410.0
2004-06-25,8.0,37.0,51.7,355.0
2004-06-26,8.0,37.0,67.9,300.0
2004-06-27,8.0,37.0,84.1,245.0
2004-06-28,8.0,37.0,100.3,190.0
2004-06-29,8.0,37.0,116.5,135.0
2004-06-30,8.0,37.0,106.83333333333333,134.19298245614036
2004-07-01,8.0,37.0,97.16666666666667,133.3859649122807
2004-07-02,8.0,37.0,87.5,132.57894736842104
2004-07-03,8.0,37.0,77.83333333333334,131.7719298245614
2004-07-04,8.0,37.0,68.16666666666667,130.96491228070175
2004-07-05,8.0,37.0,58.5,130.1578947368421
