date,so2,no2,rspm,spm
2004-01-01,8.0,42.0,238.32999999999998,398.0
2004-01-02,8.0,42.0,182.91500000000002,346.5
2004-01-03,8.0,42.0,175.27666666666667,344.3333333333333
2004-01-04,8.0,42.0,167.63833333333335,342.1666666666667
2004-01-05,8.0,42.0,160.0,340.0
2004-01-06,8.0,42.0,141.33499999999998,283.5
2004-01-07,8.0,42.0,120.16999999999999,259.0
2004-01-08,8.0,42.0,123.165,303.5
2004-01-09,8.0,42.0,103.5,291.0
2004-01-10,8.0,42.0,109.52833333333334,293.6666666666667
2004-01-11,8.0,42.0,115.55666666666667,296.3333333333333
2004-01-12,8.0,42.0,121.58500000000001,299.0
2004-01-13,8.0,42.0,121.66499999999999,337.5
2004-01-14,8.0,42.0,157.0,323.0
2004-01-15,8.0,42.0,156.33499999999998,297.0
2004-01-16,8.0,42.0,154.66500000000002,257.0
2004-01-17,8.0,42.0,181.3325,342.5
2004-01-18,8.0,42.0,208.0,428.0
2004-01-19,8.0,42.0,116.83500000000001,291.0
2004-01-20,8.0,42.0,173.25,326.0
2004-01-21,8.0,42.0,98.5,156.0
2004-01-22,8.0,42.0,68.66499999999999,200.0
2004-01-23,8.0,42.0,128.0,276.0
2004-01-24,8.0,42.0,127.41624999999999,270.5
2004-01-25,8.0,42.0,126.8325,265.0
2004-01-26,8.0,42.0,126.24875,259.5
2004-01-27,8.0,42.0,125.66499999999999,254.0
2004-01-28,8.0,42.0,129.0,322.5
2004-01-29,8.0,42.0,116.66999999999999,256.5
2004-01-30,8.0,42.0,111.636,252.0
2004-01-31,8.0,42.0,106.60199999999999,247.5
2004-02-01,8.0,42.0,101.568,243.0
2004-02-02,8.0,42.0,96.53399999999999,238.5
2004-02-03,8.0,42.0,91.5,234.0
2004-02-04,8.0,42.0,87.83500000000001,271.0
2004-02-05,8.0,42.0,93.55333333333333,257.3333333333333
2004-02-06,8.0,42.0,149.66500000000002,311.0
2004-02-07,8.0,42.0,138.27666666666667,341.6666666666667
2004-02-08,8.0,42.0,126.88833333333334,372.3333333333333
2004-02-09,8.0,42.0,115.5,403.0
2004-02-10,8.0,42.0,105.165,230.5
2004-02-11,8.0,42.0,103.83,233.5
2004-02-12,8.0,42.0,84.0,211.0
2004-02-13,8.0,42.0,114.33500000000001,305.5
2004-02-14,8.0,42.0,116.11166666666668,301.8333333333333
2004-02-15,8.0,42.0,117.88833333333334,298.1666666666667
2004-02-16,8.0,42.0,119.665,294.5
2004-02-17,8.0,42.0,134.5,245.0
2004-02-18,8.0,42.0,134.75,273.0
2004-02-19,8.0,42.0,135.0,301.0
2004-02-20,8.0,42.0,98.83500000000001,279.5
2004-02-21,8.0,42.0,96.22333333333334,309.3333333333333
2004-02-22,8.0,42.0,93.61166666666666,339.1666666666667
2004-02-23,8.0,42.0,91.0,369.0
2004-02-24,8.0,42.0,117.66499999999999,277.5
2004-02-25,8.0,42.0,126.67,268.0
2004-02-26,8.0,42.0,159.335,344.0
2004-02-27,8.0,42.0,155.95875,343.25
2004-02-28,8.0,42.0,152.5825,342.5
2004-02-29,8.0,42.0,149.20625,341.75
2004-03-01,8.0,42.0,145.83,341.0
2004-03-02,8.0,42.0,142.3325,357.5
2004-03-03,8.0,42.0,138.835,374.0
2004-03-04,8.0,42.0,133.335,406.0
2004-03-05,8.0,42.0,115.0,261.0
2004-03-06,8.0,42.0,184.0,659.0
2004-03-07,8.0,42.0,161.83499999999998,503.5
2004-03-08,8.0,42.0,139.67,348.0
2004-03-09,8.0,42.0,125.16999999999999,286.0
2004-03-10,8.0,42.0,107.16499999999999,291.0
2004-03-11,8.0,42.0,152.0,322.5
2004-03-12,8.0,42.0,155.83499999999998,336.0
2004-03-13,8.0,42.0,151.50166666666664,380.0
2004-03-14,8.0,42.0,147.16833333333332,424.0
2004-03-15,8.0,42.0,142.83499999999998,468.0
2004-03-16,8.0,42.0,145.5,443.5
2004-03-17,8.0,42.0,157.5,361.5
2004-03-18,8.0,42.0,102.16499999999999,323.5
2004-03-19,8.0,42.0,161.5,461.0
2004-03-20,8.0,42.0,167.16666666666666,461.6666666666667
2004-03-21,8.0,42.0,172.83333333333334,462.3333333333333
2004-03-22,8.0,42.0,178.5,463.0
2004-03-23,8.0,42.0,305.75,466.5
2004-03-24,8.0,42.0,264.78000000000003,490.3333333333333
2004-03-25,8.0,42.0,260.5,436.3333333333333
2004-03-26,8.0,42.0,242.835,453.5
2004-03-27,8.0,42.0,469.33,651.0
2004-03-28,8.0,42.0,290.5825,459.25
2004-03-29,8.0,42.0,111.83500000000001,267.5
2004-03-30,8.0,42.0,142.33333333333334,324.6666666666667
2004-03-31,8.0,42.0,172.83166666666665,381.8333333333333
2004-04-01,8.0,42.0,203.32999999999998,439.0
2004-04-02,8.0,42.0,117.5,352.0
2004-04-03,8.0,42.0,122.5,354.1666666666667
2004-04-04,8.0,42.0,127.5,356.3333333333333
2004-04-05,8.0,42.0,132.5,358.5
2004-04-06,8.0,42.0,97.0,343.0
2004-04-07,8.0,42.0,145.33,406.0
2004-04-08,8.0,42.0,157.33,583.5
2004-04-09,8.0,42.0,163.70625,557.5
2004-04-10,8.0,42.0,170.08249999999998,531.5
2004-04-11,8.0,42.0,176.45874999999998,505.5
2004-04-12,8.0,42.0,182.83499999999998,479.5
2004-04-13,8.0,42.0,110.0,583.0
2004-04-14,8.0,42.0,150.75,555.25
2004-04-15,8.0,42.0,191.5,527.5
2004-04-16,8.0,42.0,155.17,369.5
2004-04-17,8.0,42.0,145.55666666666667,378.5
2004-04-18,8.0,42.0,135.94333333333333,387.5
2004-04-19,8.0,42.0,126.33,396.5
2004-04-20,8.0,42.0,167.16500000000002,613.0
2004-04-21,8.0,42.0,237.83499999999998,678.0
2004-04-22,8.0,42.0,121.0,538.5
2004-04-23,8.0,42.0,114.165,352.0
2004-04-24,8.0,42.0,128.055,348.1666666666667
2004-04-25,8.0,42.0,141.945,344.3333333333333
2004-04-26,8.0,42.0,155.835,340.5
2004-04-27,8.0,42.0,125.67,266.5
2004-04-28,8.0,42.0,98.0,231.0
2004-04-29,8.0,42.0,198.0,494.0
2004-04-30,8.0,42.0,178.25,421.5
2004-05-01,8.0,42.0,158.5,349.0
2004-05-02,8.0,42.0,138.75,276.5
2004-05-03,8.0,42.0,119.0,204.0
2004-05-04,8.0,42.0,115.0,206.0
2004-05-05,8.0,42.0,111.0,208.0
2004-05-06,8.0,42.0,254.67,383.5
2004-05-07,8.0,42.0,146.33,543.0
2004-05-08,8.0,42.0,159.2475,510.5
2004-05-09,8.0,42.0,172.16500000000002,478.0
2004-05-10,8.0,42.0,185.0825,445.5
2004-05-11,8.0,42.0,198.0,413.0
2004-05-12,8.0,42.0,260.0,440.0
2004-05-13,8.0,42.0,179.5,482.0
2004-05-14,8.0,42.0,85.0,371.0
2004-05-15,8.0,42.0,116.0,377.3333333333333
2004-05-16,8.0,42.0,147.0,383.6666666666667
2004-05-17,8.0,42.0,178.0,390.0
2004-05-18,8.0,42.0,116.165,358.5
2004-05-19,8.0,42.0,257.33,837.0
2004-05-20,8.0,42.0,415.5,1106.0
2004-05-21,8.0,42.0,239.0,787.0
2004-05-22,8.0,42.0,231.08333333333334,696.6666666666666
2004-05-23,8.0,42.0,223.16666666666666,606.3333333333334
2004-05-24,8.0,42.0,215.25,516.0
2004-05-25,8.0,42.0,94.08500000000001,365.0
2004-05-26,8.0,42.0,79.0,262.0
2004-05-27,8.0,42.0,97.0,304.0
2004-05-28,8.0,42.0,150.66500000000002,289.5
2004-05-29,8.0,42.0,132.89900000000003,304.8
2004-05-30,8.0,42.0,115.13300000000001,320.1
2004-05-31,8.0,42.0,97.36700000000002,335.4
2004-06-01,8.0,42.0,79.60100000000001,350.7
2004-06-02,8.0,42.0,61.835,366.0
2004-06-03,8.0,42.0,171.67,375.0
2004-06-04,8.0,42.0,212.835,469.5
2004-06-05,8.0,42.0,185.0,387.3333333333333
2004-06-06,8.0,42.0,157.16500000000002,305.16666666666663
2004-06-07,8.0,42.0,129.33,223.0
2004-06-08,8.0,42.0,98.0,359.0
2004-06-09,8.0,42.0,84.67,247.0
2004-06-10,8.0,42.0,60.67,187.0
2004-06-11,8.0,42.0,123.835,218.0
2004-06-12,8.0,42.0,104.78,217.0
2004-06-13,8.0,42.0,85.725,216.0
2004-06-14,8.0,42.0,66.67,215.0
2004-06-15,8.0,42.0,106.165,285.0
2004-06-16,8.0,42.0,89.5,312.5
2004-06-17,8.0,42.0,80.33,188.0
2004-06-18,8.0,42.0,66.25,175.5
2004-06-19,8.0,42.0,72.55499999999999,193.83333333333334
2004-06-20,8.0,42.0,78.86,212.16666666666666
2004-06-21,8.0,42.0,85.16499999999999,230.5
2004-06-22,8.0,42.0,94.0,507.0
2004-06-23,8.0,42.0,238.5,1295.5
2004-06-24,8.0,42.0,146.085,450.0
2004-06-25,8.0,42.0,87.67,400.0
2004-06-26,8.0,42.0,97.61333333333333,366.5
2004-06-27,8.0,42.0,107.55666666666667,333.0
2004-06-28,8.0,42.0,117.5,299.5
