date,so2,no2,rspm,spm,location_monitoring_station,aqi
2005-01-04,10.9,62.9,203.0,384.0,Mayapuri,125.84693717277486
2005-01-05,25.1,64.1,381.0,601.0,Mayapuri,208.7891884816754
2005-01-14,15.9,58.1,217.0,479.0,Mayapuri,148.45568062827223
2005-01-15,17.5,77.8,246.0,558.0,Mayapuri,171.95997382198954
2005-01-18,8.5,70.0,306.0,574.0,Mayapuri,187.52054973821987
2005-01-19,17.7,68.6,285.0,543.0,Mayapuri,176.6219109947644
2005-01-21,19.7,36.8,259.0,463.0,Mayapuri,153.01887434554973
2005-01-22,16.1,18.6,150.0,236.0,Mayapuri,81.81405759162303
2005-02-04,16.4,78.8,203.0,378.0,Mayapuri,125.34544502617803
2005-02-05,16.8,62.9,175.0,349.0,Mayapuri,112.68083769633508
2005-02-08,13.5,51.7,120.0,196.0,Mayapuri,68.61725130890052
2005-02-09,16.1,61.6,220.0,410.0,Mayapuri,134.83185863874346
2005-02-18,18.7,42.6,144.0,438.0,Mayapuri,123.84678010471205
2005-02-19,10.4,26.9,98.0,310.0,Mayapuri,86.66460732984294
2005-02-25,15.1,23.1,142.0,381.0,Mayapuri,110.61693717277487
2005-02-26,13.1,23.3,179.0,371.0,Mayapuri,116.31128272251308
2005-03-01,18.7,40.5,166.0,387.0,Mayapuri,117.72866492146596
2005-03-02,13.0,28.2,120.0,355.0,Mayapuri,100.77104712041884
2005-03-15,14.8,25.3,223.0,451.0,Mayapuri,142.38523560209424
2005-03-16,16.7,28.6,194.0,399.0,Mayapuri,125.57976439790576
2005-03-21,16.8,51.1,130.0,259.0,Mayapuri,83.877277486911
2005-03-22,15.3,64.3,139.0,360.0,Mayapuri,107.455
2005-03-29,16.0,45.9,169.0,549.0,Mayapuri,152.42743455497381
2005-03-30,18.3,20.0,150.0,387.0,Mayapuri,113.43547120418847
2005-04-08,24.7,37.7,395.0,,Mayapuri,
2005-04-09,20.2,42.2,338.0,903.0,Mayapuri,261.8087434554974
2005-04-15,21.8,58.3,220.0,592.0,Mayapuri,172.74047120418848
2005-04-16,19.0,41.5,218.0,600.0,Mayapuri,173.21596858638742
2005-04-22,23.8,77.3,210.0,732.0,Mayapuri,200.75041884816756
2005-04-23,18.3,37.0,194.0,686.0,Mayapuri,185.9229057591623
2005-04-28,2.5,56.5,177.0,473.0,Mayapuri,138.62369109947645
2005-04-29,4.3,45.2,124.0,460.0,Mayapuri,124.25599476439791
2005-05-11,9.4,20.7,201.0,501.0,Mayapuri,147.95743455497384
2005-05-12,14.0,38.0,215.0,578.0,Mayapuri,167.79842931937173
2005-05-13,15.0,17.4,377.0,549.0,Mayapuri,194.9156544502618
2005-05-14,12.0,55.8,242.0,518.0,Mayapuri,161.73549738219896
